"temp","rain","humid","pm10","solar","loc"
-3.43225806451613,0.4,63.3225806451613,63.5161290322581,4.12509779940106,"강남구"
2.51428571428571,1.48214285714286,57.6785714285714,52.7857142857143,4.7016663845633,"강남구"
5.36129032258065,2.2258064516129,59.1516129032258,67.2258064516129,5.25612237740227,"강남구"
10.67,1.63333333333333,54.94,53.1333333333333,5.54503889043769,"강남구"
18.5,3.37096774193548,61.3838709677419,58.6451612903226,5.99233999118681,"강남구"
24.7866666666667,4.23333333333333,61.6533333333333,52.4666666666667,5.92137222377102,"강남구"
27.0032258064516,6.82258064516129,73.7096774193548,32.4838709677419,4.97862698633956,"강남구"
27.6258064516129,14.1774193548387,78.141935483871,32.0967741935484,5.04318740613506,"강남구"
22.86,20.9,72.61,27.7,5.166280689527,"강남구"
15.9354838709677,1.25806451612903,63.3677419354839,43.9677419354839,4.71025908972364,"강남구"
7.35666666666667,0.783333333333333,58.5666666666667,77.4333333333333,4.11040502741381,"강남구"
-0.270967741935484,0.451612903225806,58.5774193548387,68.1290322580645,3.89481950951914,"강남구"
-5.76451612903226,0.193548387096774,55.6387096774194,48.0645161290323,3.79508525409858,"강남구"
2.41428571428571,1.25,56.7,81.7142857142857,4.67436252937194,"강남구"
4.95483870967742,0.516129032258065,52.9451612903226,70.6451612903226,5.46011367213144,"강남구"
11.78,3.73333333333333,56.45,59.5333333333333,5.82355529225908,"강남구"
19.1258064516129,1.37096774193548,58.3516129032258,76,5.91552150687519,"강남구"
23.0366666666667,12.3833333333333,68.8666666666667,45.5,5.79565978998234,"강남구"
25.6967741935484,33.4354838709677,81.041935483871,29.1935483870968,5.14129621302733,"강남구"
26.6709677419355,5.51612903225806,77.0709677419355,29.6129032258065,5.20428802036026,"강남구"
22.5466666666667,1.13333333333333,63.3533333333333,34.2,5.29446375801505,"강남구"
15.0193548387097,1.30645161290323,60.2483870967742,46.9677419354839,4.88740015468043,"강남구"
11.6366666666667,1.6,64.0866666666667,38.3666666666667,4.48708465755971,"강남구"
0.354838709677419,0.274193548387097,54.9129032258065,46.4838709677419,3.958968767143,"강남구"
-1.60967741935484,0.161290322580645,53.1483870967742,64.4193548387097,4.03099283254045,"강남구"
-0.841379310344828,0,47.0068965517241,50.3793103448276,4.56145347663498,"강남구"
6.12258064516129,1.30645161290323,54.5322580645161,47.1935483870968,5.16667895716611,"강남구"
13.4233333333333,4.75,56.4466666666667,52.8,5.88522195892575,"강남구"
20.7258064516129,0.32258064516129,50.4290322580645,52.1612903225806,6.15371889529394,"강남구"
24.8233333333333,3.23333333333333,57.8966666666667,40.6333333333333,5.67961402286033,"강남구"
26.4322580645161,12.5645161290323,73.658064516129,31.1935483870968,4.97862698633956,"강남구"
27.8258064516129,17.258064516129,72.8806451612903,24.8387096774194,5.16843727798412,"강남구"
21.6366666666667,9.21666666666667,70.0033333333333,31.1333333333333,5.12085582194963,"강남구"
16.0064516129032,2.56451612903226,63.7129032258064,37.0322580645161,4.75187199294945,"강남구"
6.26333333333333,2.16666666666667,62.55,44.3666666666667,4.13669259362513,"강남구"
-3.42258064516129,1.24193548387097,62.8612903225806,42.5806451612903,3.90869047726108,"강남구"
-2.85483870967742,0.790322580645161,63.8064516129032,66.9677419354839,4.00735586391719,"강남구"
-0.589285714285714,1.35,58.5178571428571,46.7857142857143,4.63380924170616,"강남구"
5.76774193548387,0.387096774193548,55.3612903225806,58.6129032258064,5.13135970394885,"강남구"
10.5133333333333,2.13333333333333,59.2633333333333,55.0333333333333,5.45908465755971,"강남구"
18.7709677419355,3.85483870967742,62.8,57.0322580645161,5.78980363678876,"강남구"
24.8466666666667,1.28333333333333,65.8833333333333,41.6666666666667,5.3085224886163,"강남구"
26.1451612903226,21.258064516129,82.6612903225806,36.5161290322581,4.97862698633956,"강남구"
28.3451612903226,5.66129032258065,73.4483870967742,37.258064516129,5.01609063194151,"강남구"
22.25,6.73333333333333,68.2833333333333,29.6666666666667,5.059280689527,"강남구"
16.3677419354839,0.419354838709677,64.4709677419355,28.741935483871,4.47430722051854,"강남구"
6.89333333333333,2.01666666666667,64.6333333333333,43.4666666666667,4.19288862559242,"강남구"
0.77741935483871,0.564516129032258,65.4838709677419,55.3870967741936,4.38252969954225,"강남구"
0.229032258064516,0.419354838709677,56.341935483871,58.258064516129,3.91357347770174,"강남구"
2.63214285714286,0.464285714285714,57.15,57.1785714285714,4.65100113505118,"강남구"
8.63548387096774,0.225806451612903,57.3838709677419,64.0322580645161,5.04561008840167,"강남구"
14.5766666666667,1.11666666666667,57.75,59.8333333333333,5.62531349316978,"강남구"
19.5774193548387,1.67741935483871,57.7903225806452,63.4193548387097,6.3433837693463,"강남구"
23.4933333333333,7.48333333333333,68.9633333333333,38.6,5.11071852058359,"강남구"
26.4645161290323,4.74193548387097,72.6806451612903,38.2903225806452,5.11194137431765,"강남구"
25.2838709677419,6.30645161290323,75.5258064516129,29.4516129032258,5.0448446001241,"강남구"
22.5933333333333,2.8,68.27,28.3,5.12703889043769,"강남구"
16.0483870967742,2.09677419354839,64.7903225806452,33,4.45568612462566,"강남구"
9.52666666666667,1.38333333333333,61.9433333333333,44.2666666666667,4.1546010593811,"강남구"
-1.90967741935484,0.403225806451613,56.0387096774194,44,4.11238428195005,"강남구"
-0.0129032258064516,0.370967741935484,56.1774193548387,49.5806451612903,4.00638812198171,"강남구"
1.96785714285714,0.821428571428571,58.5178571428571,84.6428571428571,4.56702352742045,"강남구"
7.22258064516129,0.241935483870968,45.6483870967742,75.6774193548387,5.219923963776,"강남구"
14.0266666666667,3.1,55.7233333333333,46.2333333333333,5.58446375801505,"강남구"
19.7290322580645,0.967741935483871,53.8548387096774,46.258064516129,5.92146083077781,"강남구"
24.05,3.58333333333333,60.72,34.5,5.440280689527,"강남구"
25.9741935483871,6.17741935483871,72.058064516129,29.9354838709677,5.11097363238217,"강남구"
26.9387096774194,2.54838709677419,70.7967741935484,32.2903225806452,5.10198566508089,"강남구"
22.87,1.5,60.1766666666667,27.6,5.16579709134839,"강남구"
16.4322580645161,2.33870967741935,61.241935483871,44.5806451612903,4.46306118870113,"강남구"
9.78333333333333,4.48333333333333,73.47,31.4,4.74681005482762,"강남구"
2.81290322580645,0.903225806451613,60.6483870967742,46.6129032258064,4.01533179851974,"강남구"
-1.81935483870968,0,53.0225806451613,52.6774193548387,3.82200486523917,"강남구"
1.48965517241379,1.43103448275862,52.7413793103448,48.4827586206897,4.55983743979697,"강남구"
7.99677419354839,1.32258064516129,51.2258064516129,65.6451612903226,5.10975934602552,"강남구"
14.9633333333333,2.53333333333333,55.7133333333333,78.0333333333333,5.51617619180374,"강남구"
20.3741935483871,4.90322580645161,56.0387096774194,56.9645161290323,6.3088233495508,"강남구"
24.2333333333333,2.25,63.87,46.5,5.25114338816095,"강남구"
26.7645161290323,11.741935483871,74.5129032258065,35.8709677419355,5.0286712771028,"강남구"
28.4645161290323,2.2741935483871,66.2322580645161,37.5806451612903,5.12134050379057,"강남구"
23.48,1.53333333333333,68.0766666666667,42.6333333333333,4.99100608679491,"강남구"
16.8032258064516,2.17741935483871,65.3838709677419,40.9032258064516,4.70464234646618,"강남구"
7.97333333333333,0.433333333333333,59.0466666666667,58.2333333333333,4.1046010593811,"강남구"
2.56774193548387,2.14516129032258,59.9193548387097,51.0645161290323,4.03565437916491,"강남구"
-0.441935483870968,0.435483870967742,55.3548387096774,57.6129032258064,4.0231623155301,"강남구"
1.10357142857143,0.446428571428571,54.4785714285714,52.3571428571429,4.46200963797841,"강남구"
7.34193548387097,0.387096774193548,49.1354838709677,64.7258064516129,5.05122683165913,"강남구"
14.6366666666667,1.9,52.96,58.1,5.64688862559242,"강남구"
20.0387096774194,0.532258064516129,53.6741935483871,62.1612903225806,5.73943676538036,"강남구"
23.6366666666667,2.35,58.1966666666667,43.5666666666667,5.58537222377103,"강남구"
27.4032258064516,17.5806451612903,78.5645161290323,34.1935483870968,5.08613492270475,"강남구"
26.3741935483871,12.258064516129,73.1193548387097,22.6129032258065,5.02157450290925,"강남구"
22.4633333333333,0.816666666666667,63.5033333333333,32.7333333333333,5.11146375801505,"강남구"
16.6193548387097,1.20967741935484,60.5741935483871,26.7741935483871,4.51537608928298,"강남구"
6.48,1.45,55.5233333333333,41.1,3.98769259362513,"강남구"
-1.11612903225806,1.08064516129032,57.5645161290323,42.1935483870968,3.80675499339011,"강남구"
-3.07741935483871,0.161290322580645,50.0709677419355,42.5806451612903,3.93131541318561,"강남구"
-0.732142857142857,0.75,45.5392857142857,49.6785714285714,4.54207256362261,"강남구"
8.63548387096774,2,60.3322580645161,46.741935483871,5.09113825013265,"강남구"
13.9033333333333,5.03333333333333,55.3933333333333,46.3,5.71526772604776,"강남구"
18.841935483871,7.66129032258065,64.0516129032258,36.7096774193548,5.76040450731584,"강남구"
23.83,2.38333333333333,65.8033333333333,31.4333333333333,5.50999312331568,"강남구"
28.3193548387097,6.32258064516129,68.8193548387097,21.258064516129,5.36603379587579,"강남구"
29.0354838709677,8.24193548387097,67.7032258064516,18.9677419354839,5.24368714983318,"강남구"
22,2.93333333333333,63.5766666666667,16.0666666666667,5.03432645664901,"강남구"
14.0387096774194,4.32258064516129,60.3225806451613,24.0322580645161,4.69104966860617,"강남구"
8.95666666666667,2.65,59.66,47.4,4.25550952513707,"강남구"
0.309677419354839,0.532258064516129,48.0838709677419,39.6774193548387,3.65716615556175,"강남구"
