"X","long","lat","Áö¹øÁÖ¼Ò","cluster"
10509,127.0422917,37.67925592,"µµºÀ±¸",4
10966,127.0424194,37.66155338,"µµºÀ±¸",2
10654,127.0424297,37.66386032,"µµºÀ±¸",2
10869,127.0424594,37.63055733,"µµºÀ±¸",1
10704,127.0424607,37.66267273,"µµºÀ±¸",2
10511,127.0424736,37.67914507,"µµºÀ±¸",4
10703,127.0425104,37.66294892,"µµºÀ±¸",2
10725,127.0425521,37.66453456,"µµºÀ±¸",2
10730,127.0425648,37.6646099,"µµºÀ±¸",2
10726,127.0425751,37.66467228,"µµºÀ±¸",2
10729,127.0425751,37.66467228,"µµºÀ±¸",2
10732,127.0425751,37.66467228,"µµºÀ±¸",2
10731,127.0426451,37.66515561,"µµºÀ±¸",2
10727,127.042653,37.66520102,"µµºÀ±¸",2
10728,127.0426588,37.66523398,"µµºÀ±¸",2
10705,127.0427591,37.66265752,"µµºÀ±¸",2
10708,127.0427832,37.66279651,"µµºÀ±¸",2
10717,127.0427845,37.66594487,"µµºÀ±¸",2
10722,127.0427845,37.66594487,"µµºÀ±¸",2
10525,127.0428018,37.67934848,"µµºÀ±¸",4
10719,127.0428083,37.66607641,"µµºÀ±¸",2
10631,127.0428177,37.66296043,"µµºÀ±¸",2
10632,127.0428177,37.66296043,"µµºÀ±¸",2
10718,127.0428178,37.66612148,"µµºÀ±¸",2
10716,127.0429559,37.66690791,"µµºÀ±¸",2
10721,127.0429559,37.66690791,"µµºÀ±¸",2
10720,127.0429824,37.66706183,"µµºÀ±¸",2
10715,127.0430073,37.66719612,"µµºÀ±¸",2
10714,127.043215,37.66839825,"µµºÀ±¸",2
10713,127.0432367,37.6685465,"µµºÀ±¸",2
10712,127.0432427,37.66857526,"µµºÀ±¸",2
10521,127.0432448,37.67982173,"µµºÀ±¸",4
10723,127.0433776,37.66701439,"µµºÀ±¸",2
10724,127.0433776,37.66701439,"µµºÀ±¸",2
10709,127.0434125,37.66955518,"µµºÀ±¸",2
10711,127.0434125,37.66955518,"µµºÀ±¸",2
10522,127.043413,37.67996998,"µµºÀ±¸",4
10495,127.0434547,37.66982146,"µµºÀ±¸",2
10494,127.0434607,37.66986013,"µµºÀ±¸",2
10498,127.0434607,37.66986013,"µµºÀ±¸",2
10523,127.0434894,37.68002979,"µµºÀ±¸",4
10485,127.043539,37.67970747,"µµºÀ±¸",4
10710,127.0436166,37.66953312,"µµºÀ±¸",2
10496,127.0436781,37.67111098,"µµºÀ±¸",2
10497,127.0436781,37.67111098,"µµºÀ±¸",2
10484,127.0436962,37.6798788,"µµºÀ±¸",4
10492,127.0437068,37.67128062,"µµºÀ±¸",2
10491,127.043727,37.67139223,"µµºÀ±¸",2
10493,127.043727,37.67139223,"µµºÀ±¸",2
10520,127.0437786,37.68002964,"µµºÀ±¸",4
10524,127.0437786,37.68002964,"µµºÀ±¸",4
10526,127.0437786,37.68002964,"µµºÀ±¸",4
10630,127.0438025,37.66951301,"µµºÀ±¸",2
10474,127.0439593,37.67278805,"µµºÀ±¸",4
10476,127.0439665,37.67282073,"µµºÀ±¸",4
10527,127.0439758,37.68028598,"µµºÀ±¸",4
10473,127.0439765,37.67286671,"µµºÀ±¸",4
10475,127.0439765,37.67286671,"µµºÀ±¸",4
10471,127.0440704,37.67345744,"µµºÀ±¸",4
10472,127.044077,37.67348951,"µµºÀ±¸",4
10477,127.044085,37.67352954,"µµºÀ±¸",4
10860,127.0441258,37.65120717,"µµºÀ±¸",1
10528,127.0441774,37.68028504,"µµºÀ±¸",4
10466,127.0442247,37.67431004,"µµºÀ±¸",4
10468,127.0442334,37.67435598,"µµºÀ±¸",4
10467,127.0442456,37.67441823,"µµºÀ±¸",4
10469,127.0442456,37.67441823,"µµºÀ±¸",4
10470,127.0442456,37.67441823,"µµºÀ±¸",4
10529,127.0444335,37.68043986,"µµºÀ±¸",4
10465,127.0445219,37.67600928,"µµºÀ±¸",4
10463,127.0445305,37.6760516,"µµºÀ±¸",4
10462,127.0445391,37.67609392,"µµºÀ±¸",4
10464,127.0445391,37.67609392,"µµºÀ±¸",4
10530,127.0446019,37.6805379,"µµºÀ±¸",4
10861,127.0446366,37.65108802,"µµºÀ±¸",1
10514,127.0447282,37.68070833,"µµºÀ±¸",4
10490,127.0447805,37.67753405,"µµºÀ±¸",4
10489,127.0447969,37.67764416,"µµºÀ±¸",4
10488,127.0448065,37.67770085,"µµºÀ±¸",4
10458,127.0448489,37.67795112,"µµºÀ±¸",4
10460,127.0448554,37.67800229,"µµºÀ±¸",4
10459,127.0448613,37.67804423,"µµºÀ±¸",4
10516,127.0448895,37.68067071,"µµºÀ±¸",4
10461,127.0450451,37.67908843,"µµºÀ±¸",4
10517,127.0450546,37.68074425,"µµºÀ±¸",4
10515,127.0451271,37.6808773,"µµºÀ±¸",4
10862,127.0451651,37.6510311,"µµºÀ±¸",1
10518,127.0452111,37.68078204,"µµºÀ±¸",4
10415,127.0452471,37.68962696,"µµºÀ±¸",4
10416,127.0452657,37.68953839,"µµºÀ±¸",4
10417,127.0452924,37.68949514,"µµºÀ±¸",4
10486,127.0453043,37.68060457,"µµºÀ±¸",4
10487,127.0453043,37.68060457,"µµºÀ±¸",4
10418,127.0453117,37.68945601,"µµºÀ±¸",4
10419,127.0453331,37.68934322,"µµºÀ±¸",4
10455,127.0453332,37.68098312,"µµºÀ±¸",4
10519,127.0453369,37.68079141,"µµºÀ±¸",4
10456,127.0453599,37.68098536,"µµºÀ±¸",4
10414,127.0453659,37.6902094,"µµºÀ±¸",4
10513,127.0453666,37.68080144,"µµºÀ±¸",4
10453,127.0453999,37.68106503,"µµºÀ±¸",4
10454,127.0454011,37.68100331,"µµºÀ±¸",4
10452,127.0454046,37.68112045,"µµºÀ±¸",4
10457,127.0454046,37.68112045,"µµºÀ±¸",4
10478,127.0454356,37.68870557,"µµºÀ±¸",4
10480,127.0454356,37.68870557,"µµºÀ±¸",4
10449,127.0454941,37.68064478,"µµºÀ±¸",4
10450,127.0454941,37.68064478,"µµºÀ±¸",4
10451,127.0454941,37.68064478,"µµºÀ±¸",4
10863,127.0455047,37.65100259,"µµºÀ±¸",1
10479,127.0455836,37.6875522,"µµºÀ±¸",4
10483,127.0455836,37.6875522,"µµºÀ±¸",4
10421,127.0455995,37.68737593,"µµºÀ±¸",4
10482,127.0456055,37.68759052,"µµºÀ±¸",4
10481,127.0456098,37.68765694,"µµºÀ±¸",4
10420,127.0456115,37.68724219,"µµºÀ±¸",4
10422,127.0456115,37.68724219,"µµºÀ±¸",4
10447,127.0456301,37.68252279,"µµºÀ±¸",4
10441,127.0456358,37.68254864,"µµºÀ±¸",4
10443,127.0456456,37.68258762,"µµºÀ±¸",4
10423,127.0456715,37.68720019,"µµºÀ±¸",4
10424,127.0456851,37.68716947,"µµºÀ±¸",4
10445,127.0457117,37.68291125,"µµºÀ±¸",4
10448,127.0457117,37.68291125,"µµºÀ±¸",4
10440,127.0457592,37.68325678,"µµºÀ±¸",4
10442,127.0457617,37.6832713,"µµºÀ±¸",4
10444,127.0457647,37.68328965,"µµºÀ±¸",4
10446,127.0457647,37.68328965,"µµºÀ±¸",4
10436,127.0457877,37.68348707,"µµºÀ±¸",4
10439,127.0457877,37.68348707,"µµºÀ±¸",4
10433,127.0457949,37.68386517,"µµºÀ±¸",4
10434,127.0457949,37.68386517,"µµºÀ±¸",4
10435,127.0457949,37.68386517,"µµºÀ±¸",4
10437,127.0457999,37.68381639,"µµºÀ±¸",4
10438,127.0458077,37.6837614,"µµºÀ±¸",4
10427,127.0458412,37.68594173,"µµºÀ±¸",4
10428,127.0458412,37.68594173,"µµºÀ±¸",4
10426,127.0458438,37.6858873,"µµºÀ±¸",4
10430,127.0458465,37.68583287,"µµºÀ±¸",4
10429,127.0458876,37.68481687,"µµºÀ±¸",4
10425,127.0458912,37.68484859,"µµºÀ±¸",4
10432,127.0458955,37.68488982,"µµºÀ±¸",4
10431,127.0458974,37.68498986,"µµºÀ±¸",4
10413,127.0459446,37.68071482,"µµºÀ±¸",4
10864,127.0460057,37.65102868,"µµºÀ±¸",1
10569,127.0461043,37.68062877,"µµºÀ±¸",4
10565,127.0462117,37.68067279,"µµºÀ±¸",4
10566,127.0462536,37.68065667,"µµºÀ±¸",4
10545,127.0463127,37.68061756,"µµºÀ±¸",4
10567,127.0463127,37.68061756,"µµºÀ±¸",4
10857,127.0465169,37.65112628,"µµºÀ±¸",1
10865,127.0465169,37.65112628,"µµºÀ±¸",1
10558,127.0466314,37.68079229,"µµºÀ±¸",4
10546,127.0466869,37.68057038,"µµºÀ±¸",4
10856,127.0467052,37.65117434,"µµºÀ±¸",1
10984,127.0469164,37.65123343,"µµºÀ±¸",1
10559,127.0471508,37.68065101,"µµºÀ±¸",4
10560,127.047178,37.68064784,"µµºÀ±¸",4
10561,127.0472938,37.68066524,"µµºÀ±¸",4
10562,127.0473145,37.68066254,"µµºÀ±¸",4
10547,127.0473748,37.68035928,"µµºÀ±¸",4
10580,127.0476622,37.68070683,"µµºÀ±¸",4
10563,127.0478311,37.68049199,"µµºÀ±¸",4
10578,127.0479668,37.68044815,"µµºÀ±¸",4
10579,127.0479668,37.68044815,"µµºÀ±¸",4
10605,127.0480938,37.66859576,"µµºÀ±¸",3
10606,127.04811,37.66866491,"µµºÀ±¸",3
10604,127.0481468,37.66814776,"µµºÀ±¸",3
10572,127.0482072,37.68031058,"µµºÀ±¸",4
10351,127.0482644,37.67004111,"µµºÀ±¸",3
10352,127.0482664,37.66943672,"µµºÀ±¸",3
10350,127.0482677,37.66941178,"µµºÀ±¸",3
10607,127.0482743,37.66895903,"µµºÀ±¸",3
10610,127.0482743,37.66895903,"µµºÀ±¸",3
10611,127.0482743,37.66895903,"µµºÀ±¸",3
10608,127.0483737,37.66826481,"µµºÀ±¸",3
10612,127.0483737,37.66826481,"µµºÀ±¸",3
10548,127.0484263,37.6800146,"µµºÀ±¸",4
10609,127.0484647,37.66784774,"µµºÀ±¸",3
10652,127.0485902,37.66746012,"µµºÀ±¸",3
10633,127.0489276,37.66676384,"µµºÀ±¸",3
10653,127.0489276,37.66676384,"µµºÀ±¸",3
10570,127.0491046,37.68000698,"µµºÀ±¸",4
10573,127.0491046,37.68000698,"µµºÀ±¸",4
10375,127.0492528,37.68811667,"µµºÀ±¸",4
10645,127.0492988,37.66620344,"µµºÀ±¸",3
10585,127.049354,37.69171587,"µµºÀ±¸",4
10353,127.049371,37.68815082,"µµºÀ±¸",4
10355,127.0494259,37.68815126,"µµºÀ±¸",4
10584,127.0494439,37.69157457,"µµºÀ±¸",4
10356,127.0494511,37.68813735,"µµºÀ±¸",4
10549,127.0495247,37.67957384,"µµºÀ±¸",4
10357,127.04954,37.68804193,"µµºÀ±¸",4
10646,127.0495797,37.66586905,"µµºÀ±¸",3
10370,127.0495907,37.68980241,"µµºÀ±¸",4
10369,127.0495973,37.69028547,"µµºÀ±¸",4
10358,127.0495996,37.6880085,"µµºÀ±¸",4
10374,127.0496009,37.68935213,"µµºÀ±¸",4
10364,127.0496431,37.68848005,"µµºÀ±¸",4
10361,127.0496741,37.6879702,"µµºÀ±¸",4
10368,127.049685,37.69057792,"µµºÀ±¸",4
10373,127.0497262,37.69074636,"µµºÀ±¸",4
10564,127.0497302,37.67945987,"µµºÀ±¸",4
10371,127.0497332,37.69098597,"µµºÀ±¸",4
10372,127.049737,37.69081372,"µµºÀ±¸",4
10362,127.0497408,37.68784382,"µµºÀ±¸",4
10639,127.0498721,37.66563225,"µµºÀ±¸",3
10363,127.0498731,37.68766618,"µµºÀ±¸",4
10365,127.049978,37.68754322,"µµºÀ±¸",4
10550,127.0500794,37.67941362,"µµºÀ±¸",4
10571,127.0501208,37.67967183,"µµºÀ±¸",4
10543,127.0501492,37.67998468,"µµºÀ±¸",4
10551,127.0501873,37.67938201,"µµºÀ±¸",4
10581,127.0502338,37.68721519,"µµºÀ±¸",4
10574,127.0502791,37.67987157,"µµºÀ±¸",4
10640,127.050326,37.66501371,"µµºÀ±¸",3
10575,127.0503634,37.67987734,"µµºÀ±¸",4
10643,127.0503947,37.66491217,"µµºÀ±¸",3
10552,127.0504169,37.67929718,"µµºÀ±¸",4
10576,127.0504868,37.67988279,"µµºÀ±¸",4
10582,127.0505189,37.68677199,"µµºÀ±¸",4
10583,127.0505189,37.68677199,"µµºÀ±¸",4
10553,127.050524,37.67964619,"µµºÀ±¸",4
10557,127.050524,37.67964619,"µµºÀ±¸",4
10577,127.0505451,37.679863,"µµºÀ±¸",4
10556,127.05059,37.67984674,"µµºÀ±¸",4
10555,127.0506897,37.67999657,"µµºÀ±¸",4
10644,127.0507382,37.6641962,"µµºÀ±¸",3
10641,127.0507487,37.66415969,"µµºÀ±¸",3
10963,127.0507978,37.66070489,"µµºÀ±¸",3
10637,127.0508016,37.66181612,"µµºÀ±¸",3
10636,127.0508178,37.66207711,"µµºÀ±¸",3
10828,127.0508231,37.66037418,"µµºÀ±¸",3
10635,127.0508254,37.66210003,"µµºÀ±¸",3
10829,127.0508457,37.66032554,"µµºÀ±¸",3
10638,127.050878,37.66152693,"µµºÀ±¸",3
10642,127.0508862,37.66328067,"µµºÀ±¸",3
10650,127.0508862,37.66328067,"µµºÀ±¸",3
10360,127.0508893,37.68612945,"µµºÀ±¸",4
10366,127.0508893,37.68612945,"µµºÀ±¸",4
10554,127.0508967,37.68069283,"µµºÀ±¸",4
10651,127.0509087,37.66304275,"µµºÀ±¸",3
10354,127.0509101,37.68561697,"µµºÀ±¸",4
10649,127.0509375,37.66173815,"µµºÀ±¸",3
10961,127.0509385,37.66071747,"µµºÀ±¸",3
10962,127.0509385,37.66071747,"µµºÀ±¸",3
10634,127.0509406,37.66216658,"µµºÀ±¸",3
10647,127.0509406,37.66216658,"µµºÀ±¸",3
10648,127.0509463,37.66181635,"µµºÀ±¸",3
10964,127.0510394,37.66020562,"µµºÀ±¸",3
10965,127.0510394,37.66020562,"µµºÀ±¸",3
10544,127.0510398,37.6814126,"µµºÀ±¸",4
10568,127.0510398,37.6814126,"µµºÀ±¸",4
10541,127.051079,37.68562439,"µµºÀ±¸",4
10359,127.0512371,37.68568786,"µµºÀ±¸",4
10367,127.0512371,37.68568786,"µµºÀ±¸",4
10535,127.0512386,37.68225802,"µµºÀ±¸",4
10537,127.051337,37.68547787,"µµºÀ±¸",4
10538,127.0514047,37.68544687,"µµºÀ±¸",4
10536,127.0514353,37.68543745,"µµºÀ±¸",4
10539,127.0514353,37.68543745,"µµºÀ±¸",4
10531,127.0514683,37.68306391,"µµºÀ±¸",4
10534,127.0514683,37.68306391,"µµºÀ±¸",4
10540,127.0516735,37.68504552,"µµºÀ±¸",4
10532,127.0517193,37.68392177,"µµºÀ±¸",4
10533,127.0517193,37.68392177,"µµºÀ±¸",4
10830,127.0517197,37.6592691,"µµºÀ±¸",3
10831,127.0517197,37.6592691,"µµºÀ±¸",3
10542,127.0517771,37.68471341,"µµºÀ±¸",4
10847,127.0522096,37.65818048,"µµºÀ±¸",3
10851,127.0522096,37.65818048,"µµºÀ±¸",3
10834,127.0523631,37.65706545,"µµºÀ±¸",3
10832,127.0525771,37.65718815,"µµºÀ±¸",3
10849,127.0525876,37.65746411,"µµºÀ±¸",3
10833,127.0525884,37.65722187,"µµºÀ±¸",3
10848,127.0526185,37.65752927,"µµºÀ±¸",3
10850,127.0526185,37.65752927,"µµºÀ±¸",3
10853,127.0526185,37.65752927,"µµºÀ±¸",3
10852,127.0531102,37.65685425,"µµºÀ±¸",3
10854,127.0531102,37.65685425,"µµºÀ±¸",3
10867,127.0533726,37.65288569,"µµºÀ±¸",3
10822,127.0534127,37.65606811,"µµºÀ±¸",3
10827,127.0534127,37.65606811,"µµºÀ±¸",3
10836,127.0536736,37.65231178,"µµºÀ±¸",3
10823,127.0537175,37.65494022,"µµºÀ±¸",3
10825,127.0537175,37.65494022,"µµºÀ±¸",3
10840,127.0537194,37.65309027,"µµºÀ±¸",3
10844,127.0537194,37.65309027,"µµºÀ±¸",3
10824,127.0537246,37.65392444,"µµºÀ±¸",3
10835,127.0537429,37.65225672,"µµºÀ±¸",3
10837,127.0537429,37.65225672,"µµºÀ±¸",3
10841,127.0537429,37.65225672,"µµºÀ±¸",3
10826,127.0537452,37.65436139,"µµºÀ±¸",3
10842,127.0537704,37.65157767,"µµºÀ±¸",3
10843,127.0538078,37.65084336,"µµºÀ±¸",3
10845,127.0538078,37.65084336,"µµºÀ±¸",3
10838,127.0538738,37.65010837,"µµºÀ±¸",3
10839,127.0540475,37.6496018,"µµºÀ±¸",3
10846,127.0541613,37.64938773,"µµºÀ±¸",3
10987,127.0543423,37.64192469,"µµºÀ±¸",3
10975,127.0544017,37.64236596,"µµºÀ±¸",3
10988,127.054407,37.64157655,"µµºÀ±¸",3
10972,127.0544099,37.64242624,"µµºÀ±¸",3
10989,127.0545064,37.64122887,"µµºÀ±¸",3
10985,127.0545692,37.64104158,"µµºÀ±¸",3
10982,127.0546,37.64863329,"µµºÀ±¸",3
10971,127.0546394,37.64335215,"µµºÀ±¸",3
10986,127.0547986,37.64066796,"µµºÀ±¸",3
10967,127.0548394,37.64414117,"µµºÀ±¸",3
10974,127.0548394,37.64414117,"µµºÀ±¸",3
10970,127.0548908,37.64579627,"µµºÀ±¸",3
10979,127.0548963,37.64802583,"µµºÀ±¸",3
10983,127.0548963,37.64802583,"µµºÀ±¸",3
10976,127.0549235,37.64614498,"µµºÀ±¸",3
10977,127.0549534,37.64615498,"µµºÀ±¸",3
10980,127.0550377,37.6473651,"µµºÀ±¸",3
10978,127.055082,37.64603863,"µµºÀ±¸",3
10969,127.055083,37.64507746,"µµºÀ±¸",3
10973,127.055083,37.64507746,"µµºÀ±¸",3
10981,127.0551213,37.64682659,"µµºÀ±¸",3
10968,127.0552365,37.64589111,"µµºÀ±¸",3
